LOGGED_AT,INVOCATION_ID,RUN_STARTED_AT,ENVIRONMENT,TARGET_NAME,TARGET_DATABASE,TARGET_SCHEMA,TARGET_WAREHOUSE,NODE_ID,RESOURCE_TYPE,MODEL_NAME,MATERIALIZATION,STATUS,EXECUTION_TIME_SECONDS,ROWS_AFFECTED,MESSAGE
2025-12-26 00:15:03.661,963c6b16-1af4-4b3a-a7bb-fd1a5810a985,2025-12-26 08:14:46.228,default,default,COWJACKET,dbt_godeyinka,COWJACKET_DBT_WH,test.cowjacket_dbt.fct_orders_revenue_reconciliation,test,fct_orders_revenue_reconciliation,test,pass,0.4014201164,1,
2025-12-26 00:15:03.178,963c6b16-1af4-4b3a-a7bb-fd1a5810a985,2025-12-26 08:14:46.228,default,default,COWJACKET,dbt_godeyinka,COWJACKET_DBT_WH,test.cowjacket_dbt.unique_fct_orders_order_id.523ddb6ce5,test,unique_fct_orders_order_id,test,pass,0.36318326,1,
2025-12-26 00:15:02.678,963c6b16-1af4-4b3a-a7bb-fd1a5810a985,2025-12-26 08:14:46.228,default,default,COWJACKET,dbt_godeyinka,COWJACKET_DBT_WH,test.cowjacket_dbt.fct_orders_non_negative_revenue,test,fct_orders_non_negative_revenue,test,pass,0.3484640121,1,
2025-12-26 00:15:02.231,963c6b16-1af4-4b3a-a7bb-fd1a5810a985,2025-12-26 08:14:46.228,default,default,COWJACKET,dbt_godeyinka,COWJACKET_DBT_WH,test.cowjacket_dbt.not_null_fct_orders_order_id.4e687af8d0,test,not_null_fct_orders_order_id,test,pass,0.3251576424,1,
2025-12-26 00:15:01.760,963c6b16-1af4-4b3a-a7bb-fd1a5810a985,2025-12-26 08:14:46.228,default,default,COWJACKET,dbt_godeyinka,COWJACKET_DBT_WH,model.cowjacket_dbt.fct_orders,model,fct_orders,table,success,0.8425097466,1,SUCCESS 1
2025-12-26 00:15:01.258,963c6b16-1af4-4b3a-a7bb-fd1a5810a985,2025-12-26 08:14:46.228,default,default,COWJACKET,dbt_godeyinka,COWJACKET_DBT_WH,test.cowjacket_dbt.dbt_utils_expression_is_true_int_customer_orders_order_id_is_not_null.d8a97667b8,test,dbt_utils_expression_is_true_int_customer_orders_order_id_is_not_null,test,pass,0.8077876568,1,
2025-12-26 00:15:00.812,963c6b16-1af4-4b3a-a7bb-fd1a5810a985,2025-12-26 08:14:46.228,default,default,COWJACKET,dbt_godeyinka,COWJACKET_DBT_WH,model.cowjacket_dbt.int_customer_orders,model,int_customer_orders,view,success,0.3255519867,1,SUCCESS 1
2025-12-26 00:15:00.329,963c6b16-1af4-4b3a-a7bb-fd1a5810a985,2025-12-26 08:14:46.228,default,default,COWJACKET,dbt_godeyinka,COWJACKET_DBT_WH,model.cowjacket_dbt.stg_order_items,model,stg_order_items,view,success,0.3219544888,1,SUCCESS 1
2025-12-26 00:14:59.879,963c6b16-1af4-4b3a-a7bb-fd1a5810a985,2025-12-26 08:14:46.228,default,default,COWJACKET,dbt_godeyinka,COWJACKET_DBT_WH,model.cowjacket_dbt.stg_products,model,stg_products,view,success,0.2937152386,1,SUCCESS 1
2025-12-26 00:14:59.407,963c6b16-1af4-4b3a-a7bb-fd1a5810a985,2025-12-26 08:14:46.228,default,default,COWJACKET,dbt_godeyinka,COWJACKET_DBT_WH,model.cowjacket_dbt.stg_customers,model,stg_customers,view,success,0.2422053814,1,SUCCESS 1
